time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
1.900000000000000022e-01,1.700000000000000000e+04,7.979445740519033187e-03,7.753948643738853286e-02,1.113921979600787093e-01,1.700000000000000000e+04,7.437700249199003660e-03,8.082947668209325420e-02,2.580989676041294256e-01,-5.417454913200295263e-04,3.289990244704721345e-03,1.467067696440507163e-01
2.000000000000000111e-01,1.800000000000000000e+04,8.759335404235383052e-03,7.843844630588144018e-02,6.839977573850242187e-02,1.800000000000000000e+04,8.054467782128871267e-03,8.561765752936986718e-02,2.029191883232465132e-01,-7.048676221065117847e-04,7.179211223488426996e-03,1.345194125847440914e-01
2.099999999999999922e-01,1.979999999999999636e+04,9.551212590864053761e-03,7.993699101985268785e-02,2.313091670557481105e-01,1.979999999999999636e+04,9.086930822088029602e-03,8.914338682267911040e-02,2.328499365247820585e-01,-4.642817687760241591e-04,9.206395802826422559e-03,1.540769469033947958e-03
2.200000000000000011e-01,2.160000000000000000e+04,1.036530212545733187e-02,8.288091589880294818e-02,3.574758087343037349e-01,2.159999999999999636e+04,1.011939386204719141e-02,9.266911611598835363e-02,2.627806847263176593e-01,-2.459082634101404652e-04,9.788200217185405450e-03,-9.469512400798607565e-02
2.300000000000000100e-01,2.340000000000000000e+04,1.121427121543848437e-02,8.691290209742752459e-02,4.489214309906122136e-01,2.340000000000000000e+04,1.115185690200635321e-02,9.619484540929759686e-02,2.927114329278532878e-01,-6.241431343213116323e-05,9.281943311870072266e-03,-1.562099980627589257e-01
2.399999999999999911e-01,2.519999999999999636e+04,1.210733658317416847e-02,9.170017144970926681e-02,5.085324394657357860e-01,2.519999999999999272e+04,1.218431994196551155e-02,9.972057470260684009e-02,3.226421811293888608e-01,7.698335879134307613e-05,8.020403252897573276e-03,-1.858902583363469252e-01
2.500000000000000000e-01,2.700000000000000000e+04,1.305054677423247295e-02,9.694186676195161445e-02,5.398066229827340745e-01,2.699999999999999272e+04,1.321678298192467335e-02,1.032463039959160833e-01,3.525729293309244339e-01,1.662362076922004051e-04,6.304437233964468867e-03,-1.872336936518096406e-01
2.600000000000000089e-01,2.880000000000000000e+04,1.404712617931000961e-02,1.023740142535557035e-01,5.466228753380841798e-01,2.879999999999999636e+04,1.424924602188383516e-02,1.067720332892253404e-01,3.825036775324600624e-01,2.021198425738255505e-04,4.398019035669636922e-03,-1.641191978056241174e-01
2.700000000000000178e-01,3.060000000000000364e+04,1.509785784319365130e-02,1.077723185231726638e-01,5.330379785853087693e-01,3.059999999999999636e+04,1.528170906184299696e-02,1.102977625825345837e-01,4.124344257339956910e-01,1.838512186493456574e-04,2.525444059361919846e-03,-1.206035528513130783e-01
2.800000000000000266e-01,3.240000000000000728e+04,1.620148479872957764e-02,1.129530725840126038e-01,5.031128335826802189e-01,3.240000000000000000e+04,1.631417210180215877e-02,1.138234918758438269e-01,4.423651739355313195e-01,1.126873030725811242e-04,8.704192918312231297e-04,-6.074765964714889943e-02
2.899999999999999800e-01,3.420000000000000000e+04,1.735511257215828149e-02,1.177724821017281653e-01,4.607690699604309881e-01,3.419999999999998545e+04,1.734663514176131710e-02,1.173492211691530562e-01,4.722959221370667815e-01,-8.477430396964386050e-06,-4.232609325751091056e-04,1.152685217663579342e-02
2.999999999999999889e-01,3.600000000000000000e+04,1.855459851334050059e-02,1.221247061347156548e-01,4.096757366370662456e-01,3.599999999999998545e+04,1.837909818172047544e-02,1.208749504624622995e-01,5.022266703386024655e-01,-1.755003316200251517e-04,-1.249755672253355376e-03,9.255093370153621990e-02
3.099999999999999978e-01,3.630000000000000000e+04,1.978550629876482322e-02,1.240568509501488725e-01,-2.324677355042248372e-02,3.630000000000000000e+04,1.934477077506428083e-02,1.160134122368459281e-01,3.045505717585546002e-01,-4.407355237005423920e-04,-8.043438713302944465e-03,3.277973453089770839e-01
3.200000000000000067e-01,3.660000000000000000e+04,2.101601098967870174e-02,1.220440872326268300e-01,-3.793059699539857998e-01,3.660000000000000000e+04,2.031044336840808623e-02,1.111518740112295150e-01,1.068744731785055690e-01,-7.055676212706155082e-04,-1.089221322139731496e-02,4.861804431324913689e-01
3.300000000000000155e-01,3.690000000000000000e+04,2.221048184817231430e-02,1.168500844660957105e-01,-6.594945833522383172e-01,3.690000000000000000e+04,2.127611596175188816e-02,1.062903357856130881e-01,-9.080162540154346207e-02,-9.343658864204261449e-04,-1.055974868048262238e-02,5.686929579506948551e-01
3.400000000000000244e-01,3.720000000000000000e+04,2.334081291753426629e-02,1.092161294062947152e-01,-8.672964286079609675e-01,3.720000000000000000e+04,2.224178855509569355e-02,1.014287975599966751e-01,-2.884777239815925487e-01,-1.099024362438572738e-03,-7.787331846298040094e-03,5.788187046263684188e-01
